"SKRILL_FRONTEND_PM_FLEXIBLE", "Pay By Skrill"
"SKRILL_BACKEND_PM_PAYOLUTIONINV", "Payolution Invoice (Enterprise)"
"SKRILL_BACKEND_PM_PAYOLUTIONINS", "Payolution Installment (Enterprise)"
"BACKEND_PM_PAYSAFECARD", "Paysafecard (Enterprise)"
"SKRILL_BACKEND_PM_PAYTRAIL", "Paytrail (Enterprise)"
"SKRILL_BACKEND_PM_YANDEX", "Yandex (Enterprise)"

"SKRILL_BACKEND_MID", "H&auml;ndler ID"
"SKRILL_BACKEND_MERCHANT", "H&auml;ndler-Konto (E-Mail)"
"SKRILL_BACKEND_RECIPIENT", "Empf&auml;nger"
"SKRILL_BACKEND_LOGO", "Logo Url"
"SKRILL_BACKEND_SHOPURL", "Shop Url"
"SKRILL_BACKEND_APIPASS", "MQI/API Passwort"
"SKRILL_BACKEND_SECRETWORD", "Geheimwort"
"SKRILL_BACKEND_DISPLAY", "Anzeige"

"SKRILL_BACKEND_IFRAME", "IFrame"
"SKRILL_BACKEND_REDIRECT", "externe Seite"

"SKRILL_BACKEND_CH_SKRILL", "Skrill Quick Checkout"
"SKRILL_BACKEND_CH_PAYON", "Quick Checkout (Enterprise)"

"SKRILL_BACKEND_TT_MID", "Ihre Kunden-ID von Skrill. Sie finden sie in der oberen rechten Ecke Ihres Skrill Kontos."
"SKRILL_BACKEND_TT_MEMAIL", "Die E-Mail Adresse Ihres Skrill Kontos."
"SKRILL_BACKEND_TT_RECIPIENT", "Eine Beschreibung die w&auml;hrend des Quick Checkouts angezeigt wird. Dies sollte in der Regel der Name Ihres Unternehmens sein."
"SKRILL_BACKEND_TT_LOGO", "Die URL des Logos welches während des Quick Checkouts angezeigt werden soll. Das Logo muss per HTTPS erreichbar sein, anderenfalls kann es nicht angezeigt werden. Um das beste Ergebnis zu erzielen sollte das Logo  200px breit und 50px hoch sein."
"SKRILL_BACKEND_TT_APIPW", "Wenn dieses Feature aktiviert ist, k&ouml;nnen Refunds sowie &uuml;berpr&uuml;fungen des Transaktions-Status durchgef&uuml;hrt werden. Sie aktivieren dieses Feature in Ihrem Skrill Konto unter Einstellungen -> Entwickler Einstellungen."
"SKRILL_BACKEND_TT_SECRET", "Dieses Feature ist verpflichtend und garantiert die Datenintegrit&auml;t bei der Kommunikation mit Skrill. Sie aktivieren dieses Feature in Ihrem Skrill Konto unter Einstellungen -> Entwickler Einstellungen."
"SKRILL_BACKEND_TT_DISPLAY", "iFrame - Wenn aktiviert, wird der Quick Checkout in Ihren Shop eingebettet. Redirect - Wenn aktiviert, wird der Quick Checkout auf einer separaten Seite angezeigt. F&uuml;r Zahlungsmethoden wie SOFORT oder PayPal empfohlen."
"SKRILL_BACKEND_TT_APM", "Wenn diese Zahlungsmethode aktiviert ist, werden automatisch alle beinhalteten Zahlungsarten ausgeblendet bzw. nicht separat aufgeführt."
"SKRILL_BACKEND_TT_ACC", "Wenn diese Zahlungsmethode aktiviert ist, werden automatisch Visa, Mastercard, Amex, JCB und Diners ausgeblendet bzw. nicht separat aufgeführt."
"SKRILL_BACKEND_TT_PAYPAL", "Skrill stellt nur die technische Anbindung zur Verf&uuml;gung. Sie ben&ouml;tigen ein eigenes Konto bei PayPal."
"SKRILL_BACKEND_TT_PAYOLUTION", "Skrill stellt nur die technische Anbindung zur Verf&uuml;gung. Sie ben&ouml;tigen ein eigenes Konto bei Payolution."

"SKRILL_BACKEND_PM_PAYONSETTING", "Quick Checkout (Enterprise) Einstellungen"
"SKRILL_BACKEND_PM_MODE", "Separat anzeigen"
"SKRILL_BACKEND_GATE", "gew&uuml;nschtes Gateway"
"BACKEND_CH_ACTIVE", "Aktiviert"
"BACKEND_CH_SERVER", "Server"
"BACKEND_CH_MODE", "Transaktions-Modus"
"BACKEND_CH_CARDS", "Kartenarten"
"BACKEND_CH_CHANNEL","Channel ID"
"BACKEND_CH_SENDER","Absender"
"BACKEND_CH_LOGIN", "Benutzer-Login"
"BACKEND_CH_PASSWORD", "Passwort"
"BACKEND_CH_COUNTRIES", "Erlaubte L&auml;nder"
"BACKEND_CH_COUNTRIESSPEC", "Bestimmte L&auml;nder"
"BACKEND_CH_ORDER", "Reihenfolge"
"BACKEND_CH_AMOUNT","Betrag für Registrierung"

"ERROR_GENERAL_REDIRECT", "Leider kam es zu einem Fehler bei der Weiterleitung"
"ERROR_GENERAL_PROCESSING", "Bei der Bearbeitung ist ein Fehler aufgetreten"
"BACKEND_GENERAL_PAYMENT_ID", "Zahlungsidentifikationsnummer"

"BACKEND_CH_MODE_TEST", "TEST"
"BACKEND_CH_MODE_LIVE", "LIVE"

"BACKEND_CH_MODEDEBIT", "Debit"
"BACKEND_CH_MODEPREAUTH", "Pre-Authorization"

"BACKEND_CC_AMEX", "American Express"
"BACKEND_CC_VISA", "VISA"
"BACKEND_CC_MASTER", "MasterCard"
"BACKEND_CC_MAESTRO", "Maestro"

"FRONTEND_PAYMENT_SSL", "Diese Seite ist mit SSL verschl&uuml;sselt, um Ihre Daten zu sch&uuml;tzen."
"FRONTEND_CC_NUMBER", "Kartennummer"
"FRONTEND_CC_EXPIRY", "G&uuml;ltig bis Monat / Jahr"
"FRONTEND_CC_CVC", "Kartenpr&uuml;fnummer"
"FRONTEND_CC_HELP", "Hilfe"
"FRONTEND_BT_CANCEL", "Abbrechen"
"FRONTEND_BT_CONFIRM", "Best&auml;tigen"
"FRONTEND_CC_CVCHELP", "Was ist die Kartenpr&uuml;fnummer?"
"FRONTEND_CC_BRANDS", "Amex, Visa, MasterCard, Maestro"
"FRONTEND_TT_CVCWHERE", "Auf der R&uuml;ckseite Ihrer Karte, die letzten drei Ziffern im oder beim Unterschriftenfeld."
"FRONTEND_CC_HOLDER", "Kartenhalter"

"FRONTEND_DD_HEADLINE", "Einzug vom Bankkonto"
"FRONTEND_DD_IBAN", "Kontonummer / IBAN"
"FRONTEND_DD_BIC", "Bankleitzahl / BIC"
"FRONTEND_DD_BANK", "Kreditinstitut"

"SUCCESS_PAYMENT_ACC", "Zahlung akzeptiert"
"SUCCESS_PREAUTH_ACC", "Vor-Authorisierung der Zahlung"

"ERROR_CC_ACCOUNT", "Sie sind nicht der Inhaber des eingegebenen Kontos. Bitte w&auml;hlen Sie ein Konto das auf Ihren Namen l&auml;uft."
"ERROR_CC_INVALIDDATA", "Ihre Karten-/Kontodaten sind leider nicht korrekt. Bitte versuchen Sie es erneut."
"ERROR_CC_BLACKLIST", "Leider kann die eingegebene Kreditkarte nicht akzeptiert werden. Bitte w&auml;hlen Sie eine andere Karte oder Bezahlungsmethode."
"ERROR_CC_DECLINED_CARD", "Leider kann die eingegebene Kreditkarte nicht akzeptiert werden. Bitte w&auml;hlen Sie eine andere Karte oder Bezahlungsmethode."
"ERROR_CC_EXPIRED", "Leider ist die eingegebene Kreditkarte abgelaufen. Bitte w&auml;hlen Sie eine andere Karte oder Bezahlungsmethode."
"ERROR_CC_INVALIDCVV", "Leider ist die eingegebene Kartenpr&uuml;fnummer nicht korrekt. Bitte versuchen Sie es erneut."
"ERROR_CC_EXPIRY", "Leider ist das eingegebene Ablaufdatum nicht korrekt. Bitte versuchen Sie es erneut."
"ERROR_CC_LIMIT_EXCEED", "Leider &uuml;bersteigt der zu zahlende Betrag das Limit Ihrer Kreditkarte. Bitte w&auml;hlen Sie eine andere Karte oder Bezahlsmethode."
"ERROR_CC_3DAUTH", "Ihr Passwort wurde leider nicht korrekt eingegeben. Bitte versuchen Sie es erneut."
"ERROR_CC_3DERROR", "Leider gab es einen Fehler bei der Durchf&uuml;hrung Ihrer Zahlung. Bitte versuchen Sie es erneut."
"ERROR_CC_NOBRAND", "Leider gab es einen Fehler bei der Durchf&uuml;hrung Ihrer Zahlung. Bitte versuchen Sie es erneut."
"ERROR_GENERAL_LIMIT_AMOUNT", "Leider &uuml;bersteigt der zu zahlende Betrag Ihr Limit. Bitte w&auml;hlen Sie eine andere Bezahlsmethode."
"ERROR_GENERAL_LIMIT_TRANSACTIONS", "Leider &uuml;bersteigt der zu zahlende Betrag Ihr Transaktionslimit. Bitte w&auml;hlen Sie eine andere Bezahlsmethode."
"ERROR_CC_DECLINED_AUTH", "Leider ist Ihre Zahlung fehlgeschlagen. Bitte versuchen Sie es erneut."
"ERROR_GENERAL_DECLINED_RISK", "Leider ist Ihre Zahlung fehlgeschlagen. Bitte versuchen Sie es erneut."
"ERROR_CC_ADDRESS", "Leider konnten wir Ihre Kartendaten nicht akzeptieren. Ihre Adresse stimmt nicht mit der Herkunft Ihrer Karte &uuml;berein."
"ERROR_GENERAL_CANCEL", "Der Vorgang wurde auf Ihren Wunsch abgebrochen. Bitte versuchen Sie es erneut."
"ERROR_CC_RECURRING", "F&uuml;r die gewählte Karte wurden wiederkehrende Zahlungen deaktiviert. Bitte w&auml;len Sie eine andere Bezahlmethode."
"ERROR_CC_REPEATED", "Leider ist Ihre Zahlung fehlgeschlagen, da Sie mehrfach fehlerhafte Angaben gemacht haben. Bitte w&auml;len Sie eine andere Bezahlmethode."
"ERROR_GENERAL_ADDRESS", "Leider ist Ihre Zahlung fehlgeschlagen. Bitte kontrollieren Sie Ihre pers&ouml;nlichen Angaben."
"ERROR_GENERAL_BLACKLIST", "Die gew&auml;hlte Bezahlmethode steht leider nicht zur Verfügung. Bitte w&auml;len Sie eine andere Bezahlmethode."
"ERROR_GENERAL_GENERAL", "Leider konnten wir Ihre Transaktion nicht durchf&uuml;hren. Bitte versuchen Sie es erneut."
"ERROR_GENERAL_TIMEOUT", "Leider konnten wir Ihre Transaktion nicht durchf&uuml;hren. Bitte versuchen Sie es erneut."
"ERROR_GIRO_NOSUPPORT", "Giropay wird leider f&uuml;r diese Transaktion nicht unterstützt. Bitte w&auml;len Sie eine andere Bezahlmethode."
"ERROR_SEPA_MANDATE", "Ihr SEPA-Mandat ist nicht gültig. Bitte w&auml;len Sie eine andere Bezahlmethode."
"ERROR_UNKNOWN", "Leider konnten wir Ihre Transaktion nicht durchf&uuml;hren. Bitte versuchen Sie es erneut."
"ERROR_GENERAL_NORESPONSE", "Leider konnte ihre Zahlung nicht best&auml;tigt werden. Bitte setzen Sie sich mit dem H&auml;ndler in Verbindung."

"SKRILL_BACKEND_ORDER_STATUS", "Zahlungsstatus"
"SKRILL_BACKEND_ORDER_PM", "Verwendete Zahlungsmethode"
"SKRILL_BACKEND_ORDER_COUNTRY", "Land (des kartenausgebenden Instituts)"

"BACKEND_TT_PROCESSED", "Abgewickelt"
"BACKEND_TT_PENDING", "Wartend"
"BACKEND_TT_CANCELLED", "Abgebrochen"
"BACKEND_TT_FAILED", "Fehlgeschlagen"
"BACKEND_TT_CHARGEBACK", "Chargeback"
"ERROR_GENERAL_ABANDONED_BYUSER", "Abbruch durch Nutzer"

"BACKEND_TT_ACC", "Zahlung akezptiert"
"BACKEND_TT_PREAUTH", "Pre-Authorization erfolgreich"

"BACKEND_TT_CAPTURED", "Capture erfolgreich ausgef&uuml;hrt"
"BACKEND_TT_REFUNDED", "Refund erfolgreich ausgef&uuml;hrt"

"BACKEND_TT_CAPTURED_FAILED", "Capture fehlgeschlagen"
"BACKEND_TT_REFUNDED_FAILED", "Refund fehlgeschlagen"

"BACKEND_TT_BY_PAYON", "by Enterprise"
"BACKEND_TT_BY_SKRILL", "by Skrill"

"SKRILL_BACKEND_ORDER_ORIGIN", "Bestellung stammt aus"
"BACKEND_TT_UPDATE_ORDER", "Bestellung aktualisieren"

"Order was placed using %s", "Bestellung wurde aufgegeben in %s"

"SKRILL_BACKEND_GENERAL_TRANSACTION", "Transaktion"
"BACKEND_GENERAL_FRAUD", "wurde als Betrug eingestuft"
"SKRILL_BACKEND_GENERAL_TRANSACTION_ID", "Transaktions-ID"
"ERROR_GENERAL_FRAUD_DETECTION", "Leider kam es bei der Abwicklung Ihrer Bestellung zu einem Fehler. Eventuell geleistete Zahlungen werden erstattet."

"SKRILL_ERROR_01", "Vom ausgebenden Institut zur&uuml;ckgewiesen"
"SKRILL_ERROR_02", "Unzul&auml;ssiger H&auml;ndler"
"SKRILL_ERROR_03", "Karte wurde als gestohlen gemeldet"
"SKRILL_ERROR_04", "Vom ausgebenden Institut zur&uuml;ckgewiesen"
"SKRILL_ERROR_05", "Fehlende Deckung"
"SKRILL_ERROR_08", "PIN zu oft falsch eingegeben - Karte gesperrt"
"SKRILL_ERROR_09", "Fehlerhafte Transaktion"
"SKRILL_ERROR_10", "Transaktion zur&uuml;ckgewiesen (Frequenz zu hoch)"
"SKRILL_ERROR_12", "Kreditkarten-/Kontodaten fehlerhaft"
"SKRILL_ERROR_15", "Doppelte Transaktion"
"SKRILL_ERROR_19", "Unbekannter Fehler - bitte versuchen Sie es erneut"
"SKRILL_ERROR_24", "Karte abgelaufen"
"SKRILL_ERROR_28", "Karte wurde als gestohlen/verloren gemeldet"
"SKRILL_ERROR_32", "CVV wurde falsch eingegeben"
"SKRILL_ERROR_37", "Karte vom ausgebenden Institut eingeschränkt"
"SKRILL_ERROR_38", "Sicherheitsverstoß"
"SKRILL_ERROR_42", "Karte wurde vom ausgebenden Institut gesperrt"
"SKRILL_ERROR_44", "Bank nicht erreichbar"
"SKRILL_ERROR_51", "Fehler im Abwicklungssystem"
"SKRILL_ERROR_63", "Transaktion wurde abgelehnt"
"SKRILL_ERROR_70", "3D Secure wurde nicht abgeschlossen"
"SKRILL_ERROR_71", "SMS Verifikation wurde nicht abgeschlossen"
"SKRILL_ERROR_80", "Transaktion vom Sicherheitssystem zur&uuml;ckgewiesen"
"SKRILL_ERROR_98", "Fehler bei der Kommunikation mit dem Anbieter"
"SKRILL_ERROR_99_GENERAL", "Fehlerquelle unbekannt"
"SKRILL_BACKEND_MERCHANTEMAIL",	"Händler E-Mail-Adresse"
"SKRILL_BACKEND_TT_MERCHANTEMAIL", "Ihre E-Mail-Adresse, um die Zahlungsbenachrichtigung zu erhalten"

"FRONTEND_MESSAGE_YOUR_ORDER", "Ihre Bestellung bei"
"FRONTEND_MESSAGE_INPROCESS", "in Bearbeitung."
"FRONTEND_MESSAGE_PLEASE_BACK_AGAIN", "Bitte kommen Sie nach wenigen Minuten zurück und überprüfen Sie Ihre Bestellunghistorie"
"BACKEND_TT_REFUNDED_PENDING", "Refund Pending"
"BACKEND_GENERAL_WAIT_REFUND_PENDING", "Sie können den Betrag nicht zurückerstatten, da die Rückersattung zuvor ausstehend war. Bitte versuchen Sie es zu einem späteren Zeitpunkt erneut."
"SUCCESS_GENERAL_REFUND_PAYMENT_PENDING", "Ihr Versuch, die Zahlung zurückzuerstatten, steht noch aus."
"ERROR_GENERAL_REFUND_PAYMENT", "Leider konnte die Zahlung nicht gutgeschrieben werden."
"BACKEND_TT_AMOUNT", "Betrag"
"SUCCESS_GENERAL_UPDATE_PAYMENT", "Der Status der Transaktion wurde erfolgreich aktualisiert."
"ERROR_UPDATE_BACKEND", "Der Status kann nicht aktualisiert werden."
"ERROR_UPDATE_NOTVERIFIED_BACKEND", "Bitte, überprüfen Sie Ihre Skrill-Einstellungen."
"ERROR_UPDATE_MQI_BACKEND", "Bitte prüfen Sie MQI/API Passwort"
"ERROR_UPDATE_LOCKED_BACKEND", "Ihr Konto ist derzeit gesperrt. Bitte wenden Sie sich an unserer Händlerabteilung: merchantservices@skrill.com"
"ERROR_GET_SID", "Beim Verarbeiten Ihrer Anforderung ist ein Problem aufgetreten. Wenden Sie sich bitte an unseren Support."

"SKRILL_BACKEND_EMAIL_ACCOUNT", "E-Mail-Adresse des Skrill-Kontos"
"BACKEND_TT_NOT_VERIFIED", "Not Verified"

"BACKEND_MENU_HOWTO_REFUND", "Wie erfolgt die Rückerstattung?"
"BACKEND_TT_HOWTO_FULLREFUND", "Wie erfolgt die volle Rückerstattung?"
"BACKEND_TT_REFUND_MENU_ORDER", "Im Administrationsbereich klicken Sie auf Menü: ""Verkauf"" - ""Auftrag""."
"BACKEND_TT_REFUND_TRANSACTION", "Wählen Sie die Transaktion aus, die Sie rückerstatten möchten."
"BACKEND_TT_REFUND_MENU_INVOICE", "Klicken Sie links auf Rechnungsmenü."
"BACKEND_TT_REFUND_INVOICE_DATA", "Klicken Sie rechts auf die Rechnungsdaten."
"BACKEND_TT_REFUND_MENU_CREDITMEMO", "Klicken Sie auf Menü. Wählen Sie ""Credit Memo"" aus."
"BACKEND_TT_HOWTO_PARTIALREFUND", "Wie erfolgt die Teilrückerstattung?"
"BACKEND_TT_REFUND_PARTIAL_QTY", "Geben Sie die Produktmenge in die Rückerstattungspalte ein, um die Menge zu erstatten."
"BACKEND_TT_REFUND_PARTIAL_QTY_UPDATE", "Klicken Sie auf ""Menge aktualisieren""."
"BACKEND_TT_REFUND_PARTIAL_ADJUSTMENT", "Geben Sie Rückerstattungsversand, Rückerstattungsanpassung, Anpassungsgebühr ein."
"BACKEND_TT_REFUND_FINISH", "Danach klicken Sie auf ""Rückerstattung""."

"SKRILL_BACKEND_MC_SETUP", "Multi Currency Setup"
"SKRILL_BACKEND_MC_ACCOUNT", "Multi Currency Account"
"SKRILL_BACKEND_MC_CURRENCY", "Currency"
"SKRILL_BACKEND_TT_MC_CURRENCY", "Select currency"
"SKRILL_BACKEND_BT_MC_ADD", "Add"
"SKRILL_BACKEND_BT_MC_DELETE", "Delete"
"SKRILL_BACKEND_TT_MC_ACTIVE", "Enable this account for multi currency"
"ERROR_UPDATE_INVALID_CREDENTIAL", "Bitte, überprüfen Sie Ihre Skrill-Einstellungen."
"ERROR_WRONG_CURRENCY1", "Falsche Währung, benutzte Währung war "
"ERROR_WRONG_CURRENCY2", ", statt "
"SKRILL_BACKEND_TT_ACCOUNT_CURRENCY", "Merchant account currency"

"SKRILL_BACKEND_MC_EUR", "EUR (Euro)"
"SKRILL_BACKEND_MC_USD", "USD (U.S. Dollar)"
"SKRILL_BACKEND_MC_GBP", "GBP (British Pound)"
"SKRILL_BACKEND_MC_HKD", "HKD (Hong Kong Dollar)"
"SKRILL_BACKEND_MC_SGD", "SGD (Singapore Dollar)"
"SKRILL_BACKEND_MC_JPY", "JPY (Japanese Yen)"
"SKRILL_BACKEND_MC_CAD", "CAD (Canadian Dollar)"
"SKRILL_BACKEND_MC_AUD", "AUD (Australian Dollar)"
"SKRILL_BACKEND_MC_CHF", "CHF (Swiss Franc)"
"SKRILL_BACKEND_MC_DKK", "DKK (Danish Krone)"
"SKRILL_BACKEND_MC_SEK", "SEK (Swedish Krona)"
"SKRILL_BACKEND_MC_NOK", "NOK (Norwegian Krone)"
"SKRILL_BACKEND_MC_ILS", "ILS (Israeli Shekel)"
"SKRILL_BACKEND_MC_MYR", "MYR (Malaysian Ringgit)"
"SKRILL_BACKEND_MC_NZD", "NZD (New Zealand Dollar)"
"SKRILL_BACKEND_MC_TRY", "TRY (New Turkish Lira)"
"SKRILL_BACKEND_MC_AED", "AED (Utd. Arab Emir. Dirham)"
"SKRILL_BACKEND_MC_MAD", "MAD (Moroccan Dirham)"
"SKRILL_BACKEND_MC_QAR", "QAR (Qatari Rial)"
"SKRILL_BACKEND_MC_SAR", "SAR (Saudi Riyal)"
"SKRILL_BACKEND_MC_TWD", "TWD (Taiwan Dollar)"
"SKRILL_BACKEND_MC_THB", "THB (Thailand Baht)"
"SKRILL_BACKEND_MC_CZK", "CZK (Czech Koruna)"
"SKRILL_BACKEND_MC_HUF", "HUF (Hungarian Forint)"
"SKRILL_BACKEND_MC_BGN", "BGN (Bulgarian Leva)"
"SKRILL_BACKEND_MC_PLN", "PLN (Polish Zloty)"
"SKRILL_BACKEND_MC_ISK", "ISK (Iceland Krona)"
"SKRILL_BACKEND_MC_INR", "INR (Indian Rupee)"
"SKRILL_BACKEND_MC_KRW", "KRW (South-Korean Won)"
"SKRILL_BACKEND_MC_ZAR", "ZAR (South-African Rand)"
"SKRILL_BACKEND_MC_RON", "RON (Romanian Leu New)"
"SKRILL_BACKEND_MC_HRK", "HRK (Croatian Kuna)"
"SKRILL_BACKEND_MC_JOD", "JOD (Jordanian Dinar)"
"SKRILL_BACKEND_MC_OMR", "OMR (Omani Ria)"
"SKRILL_BACKEND_MC_RSD", "RSD (Serbian Dinar)"
"SKRILL_BACKEND_MC_TND", "TND (Tunisian Dinar)"
"SKRILL_BACKEND_MC_BHD", "BHD (Bahraini Dinar)"
"SKRILL_BACKEND_MC_KWD", "KWD (Kuwaiti Dinar)"
"SKRILL_BACKEND_MC_PEN", "PEN (Peru Sol)"
